trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-119.93915291488157,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-120.91541986083766,"{0: 12, 1: 4, 2: 6, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-95.9472286436265,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-41.990974573345504,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-103.7773641751768,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-53.37145803884473,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,16,-35.69537727916256,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,15,-1.9290409376440654,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,21,6.870397757493266,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,2,-96.04358388946076,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,8,-3.7826280066065037,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,8,4.737571595617767,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,16,-21.91747589329194,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,15,-12.84105036290001,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,19,-30.543603421968218,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,19,11.83790541542469,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,2,12.896906042412507,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-11.10191013682548,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,7,-23.796052133799325,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,34.26431800497182,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,17,-28.59133476977721,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,11,14.587678590826208,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,0,43.859920304970316,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,18,12.840970543581307,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,4,-21.067382390830364,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,20,7.278158710614902,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,3,6.158106220659548,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,4,20.94445310569617,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,14,0.6458703182691679,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,27.466837294978674,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
