trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.9900498337491681}",20,0,-114.87605023429097,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.9801986733067553}",20,0,-155.33149502504585,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.9704455335485082}",20,0,-103.73809633656097,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.9607894391523232}",35,0,-210.3598076201319,"{0: 21, 1: 5, 2: 4, 3: 2, 4: 3}",0
5,False,"{'a': 0.2, 'e': 0.951229424500714}",30,0,-140.773128211372,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.9417645335842487}",30,16,-92.85653451642123,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.2, 'e': 0.9323938199059483}",20,0,-123.0796730912264,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.9231163463866358}",20,0,-24.177652317382066,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.9139311852712282}",20,0,-96.95541915015188,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.9048374180359595}",30,0,-105.0795608758462,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.8958341352965282}",35,0,-271.7341042566061,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 5}",0
12,False,"{'a': 0.2, 'e': 0.8869204367171575}",20,0,-26.73309704243638,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.8780954309205613}",35,0,-112.04567983454223,"{0: 23, 1: 2, 2: 9, 3: 0, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.8693582353988059}",20,2,-109.59473876765155,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 2}",1
15,False,"{'a': 0.2, 'e': 0.8607079764250578}",20,9,6.472757545032421,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.8521437889662113}",35,0,-10.060740543165597,"{0: 29, 1: 4, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.2, 'e': 0.8436648165963837}",30,0,-24.099128411103003,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.835270211411272}",20,0,-60.0984826510961,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.2, 'e': 0.8269591339433623}",20,0,-16.289815468684424,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.2, 'e': 0.8187307530779818}",20,0,-52.474989672633754,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.8105842459701871}",25,0,-49.768964595876234,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.8025187979624785}",20,0,-13.525653070236482,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.2, 'e': 0.794533602503334}",25,0,-193.28153783711457,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
24,False,"{'a': 0.2, 'e': 0.7866278610665535}",30,0,-26.45397084271134,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.7788007830714049}",20,2,-53.755366053804366,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
26,False,"{'a': 0.2, 'e': 0.7710515858035663}",20,0,-67.55198574061855,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
27,False,"{'a': 0.2, 'e': 0.7633794943368531}",20,6,-0.27250761416602476,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.2, 'e': 0.7557837414557255}",20,0,-11.745478196464243,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.2, 'e': 0.7482635675785653}",30,0,-145.79012626262755,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
30,False,"{'a': 0.2, 'e': 0.7408182206817179}",25,4,-20.22775412831954,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
31,False,"{'a': 0.2, 'e': 0.7334469562242892}",25,13,-16.485748497551178,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.2, 'e': 0.7261490370736909}",20,0,-59.09263309514673,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.2, 'e': 0.7189237334319262}",25,0,-58.59412477258987,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.2, 'e': 0.7117703227626097}",20,0,-54.164816601369616,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.2, 'e': 0.7046880897187134}",20,0,-50.90857459650598,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.2, 'e': 0.697676326071031}",35,20,3.902468762593079,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.2, 'e': 0.6907343306373547}",20,0,-40.816690623365126,"{0: 14, 1: 4, 2: 0, 3: 2, 4: 0}",0
38,False,"{'a': 0.2, 'e': 0.6838614092123558}",20,1,-38.53897222776206,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 0}",1
39,False,"{'a': 0.2, 'e': 0.6770568744981647}",35,0,-78.06181661466763,"{0: 26, 1: 1, 2: 7, 3: 0, 4: 1}",0
40,False,"{'a': 0.2, 'e': 0.6703200460356393}",25,8,-21.662394437906226,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
41,False,"{'a': 0.2, 'e': 0.6636502501363194}",35,5,-119.06603866162475,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",1
42,False,"{'a': 0.2, 'e': 0.6570468198150567}",20,9,14.267197838640303,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.2, 'e': 0.6505090947233165}",25,12,3.4039642436574837,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.6440364210831414}",20,2,-18.198307789385893,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.2, 'e': 0.6376281516217733}",30,9,-36.80887970775227,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 1}",1
46,False,"{'a': 0.2, 'e': 0.631283645506926}",20,7,11.294032526410305,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
