trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",30,0,-135.779521735586,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.5}",20,0,-126.65797411864796,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.3333333333333333}",25,0,-234.7807076888588,"{0: 10, 1: 1, 2: 10, 3: 1, 4: 3}",0
4,False,"{'a': 0.2, 'e': 0.25}",20,0,-113.84786054632889,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.2}",20,0,-140.67880965408963,"{0: 8, 1: 0, 2: 11, 3: 0, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.16666666666666666}",25,0,-134.6445817982929,"{0: 13, 1: 0, 2: 11, 3: 0, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.14285714285714285}",30,0,-171.45586359821905,"{0: 17, 1: 0, 2: 11, 3: 0, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.125}",20,0,-142.65840190532867,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.1111111111111111}",20,0,-83.24630647212012,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.1}",25,0,-76.22671773023245,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
11,False,"{'a': 0.2, 'e': 0.09090909090909091}",35,0,-194.11363891270483,"{0: 20, 1: 2, 2: 10, 3: 1, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.08333333333333333}",30,0,-275.2479066057154,"{0: 11, 1: 0, 2: 16, 3: 0, 4: 3}",0
13,False,"{'a': 0.2, 'e': 0.07692307692307693}",20,12,-32.59909552044843,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.2, 'e': 0.07142857142857142}",30,0,-145.5078513044638,"{0: 14, 1: 0, 2: 16, 3: 0, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.06666666666666667}",25,0,-86.37311832097946,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.0625}",20,0,-117.06196042877502,"{0: 9, 1: 0, 2: 10, 3: 1, 4: 0}",0
17,False,"{'a': 0.2, 'e': 0.058823529411764705}",35,0,-238.59342312775811,"{0: 18, 1: 1, 2: 13, 3: 0, 4: 3}",0
18,False,"{'a': 0.2, 'e': 0.05555555555555555}",25,0,-145.10940617934287,"{0: 12, 1: 0, 2: 12, 3: 0, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.05263157894736842}",20,0,-87.6651444114388,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.2, 'e': 0.05}",25,0,-229.1395190949464,"{0: 11, 1: 0, 2: 10, 3: 1, 4: 3}",0
1,True,"{'a': 0.2, 'e': 1.0}",20,0,-74.87899471588574,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
2,True,"{'a': 0.2, 'e': 0.5}",30,0,-156.48631765283366,"{0: 14, 1: 0, 2: 15, 3: 1, 4: 0}",0
3,True,"{'a': 0.2, 'e': 0.3333333333333333}",20,0,-48.91979267080967,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0.2, 'e': 0.25}",25,0,-137.37267359130522,"{0: 13, 1: 0, 2: 11, 3: 0, 4: 1}",0
5,True,"{'a': 0.2, 'e': 0.2}",30,0,-60.51827228542598,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
6,True,"{'a': 0.2, 'e': 0.16666666666666666}",20,0,-121.12699452383369,"{0: 7, 1: 0, 2: 13, 3: 0, 4: 0}",0
7,True,"{'a': 0.2, 'e': 0.14285714285714285}",20,0,-117.51377466495006,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
8,True,"{'a': 0.2, 'e': 0.125}",25,0,-98.10733586203308,"{0: 14, 1: 0, 2: 11, 3: 0, 4: 0}",0
9,True,"{'a': 0.2, 'e': 0.1111111111111111}",20,0,-168.6089219014801,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
10,True,"{'a': 0.2, 'e': 0.1}",20,0,-199.56347293708973,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
